#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,126.870204
0.0,201,127.030966
0.0,201,127.18763
0.0,201,127.353539
0.0,201,127.509562
0.0,201,127.666221
0.0,201,127.828003
0.0,201,127.999972
0.0,201,128.168089
0.0,201,128.326264
0.0,201,128.498826
0.0,201,128.697643
0.0,201,128.85928
0.0,201,129.023788
0.0,201,129.179157
0.0,201,129.356212
0.0,201,129.520615
0.0,201,129.680613
0.0,201,129.849978
0.0,201,130.000966
0.0,201,130.168191
0.0,201,130.334402
0.0,201,130.495204
0.0,201,130.665047
0.0,201,130.844938
0.0,201,131.01362
0.0,201,131.177136
0.0,201,131.349749
0.0,201,131.52387
0.0,201,131.689506
0.0,201,131.847011
0.0,201,132.01448
0.0,201,132.175317
0.0,201,132.338241
0.0,201,132.493156
0.0,201,132.671724
0.0,201,132.844711
0.0,201,133.028415
0.0,201,133.188277
0.0,201,133.344143
0.0,201,133.53197
0.0,201,133.700455
0.0,201,133.863515
0.0,201,134.038747
0.0,201,134.208065
0.0,201,134.364182
0.0,201,134.531118
0.0,201,134.685331
0.0,201,134.852142
0.0,201,135.033495
0.0,201,135.212649
0.0,201,135.379375
0.0,201,135.548659
0.0,201,135.694142
0.0,201,135.867241
0.0,201,136.03073
0.0,201,136.191938
0.0,201,136.353287
0.0,201,136.518389
0.0,201,136.67737
0.0,201,136.84712
0.0,201,137.016895
0.0,201,137.179496
0.0,201,137.369868
0.0,201,137.545936
0.0,201,137.729192
0.0,201,137.889619
0.0,201,138.064669
0.0,201,138.22096
0.0,201,138.381367
0.0,201,138.548878
0.0,201,138.713775
0.0,201,138.882123
0.0,201,139.046495
0.0,201,139.21235
0.0,201,139.374235
0.0,201,139.568116
0.0,201,139.727814
0.0,201,139.880364
0.0,201,140.047615
0.0,201,140.215413
0.0,201,140.386096
0.0,201,140.559948
0.0,201,140.723282
0.0,201,140.893446
0.0,201,141.068794
0.0,201,141.24345
0.0,201,141.415529
0.0,201,141.583885
0.0,201,141.764748
0.0,201,141.958533
0.0,201,142.128275
0.0,201,142.292259
0.0,201,142.492062
0.0,201,142.65999
0.0,201,142.834244
0.0,201,142.99283
0.0,201,143.164763
0.0,201,143.332013
0.0,201,143.506612
0.0,201,143.68053
0.0,201,143.855685
0.0,201,144.023535
0.0,201,144.177038
0.0,201,144.338364
0.0,201,144.500425
0.0,201,144.651121
0.0,201,144.822562
0.0,201,144.987097
0.0,201,145.162748
0.0,201,145.348074
0.0,201,145.510125
0.0,201,145.671858
0.0,201,145.832815
0.0,201,146.020858
0.0,201,146.216025
0.0,201,146.385544
0.0,201,146.553273
0.0,201,146.722737
100.0,1,146.725942
0.0,201,146.897806
0.0,201,147.061141
0.0,201,147.237331
0.0,201,147.415382
0.0,201,147.582958
0.0,201,147.756655
0.0,201,147.91624
0.0,201,148.087688
0.0,201,148.282124
0.0,201,148.446033
100.0,2,148.455146
0.0,201,148.618412
0.0,201,148.790855
0.0,201,148.960233
0.0,201,149.132474
0.0,201,149.299762
0.0,201,149.474263
0.0,201,149.648618
0.0,201,149.818812
0.0,201,149.991611
0.0,201,150.175108
0.0,201,150.355405
0.0,201,150.548531
0.0,201,150.707155
0.0,201,150.870503
0.0,201,151.020399
0.0,201,151.200076
0.0,201,151.362392
0.0,201,151.538532
0.0,201,151.701594
0.0,201,151.857567
0.0,201,152.016209
0.0,201,152.182261
0.0,201,152.352798
0.0,201,152.539271
0.0,201,152.730162
0.0,201,152.897837
0.0,201,153.07598
0.0,201,153.237193
0.0,201,153.405687
0.0,201,153.581818
0.0,201,153.749496
100.0,1,153.752624
0.0,201,153.921786
0.0,201,154.084948
0.0,201,154.245635
0.0,201,154.420956
0.0,201,154.582195
0.0,201,154.79056
0.0,201,154.973523
0.0,201,155.134811
0.0,201,155.295647
0.0,201,155.461612
0.0,201,155.622406
0.0,201,155.799166
0.0,201,155.964513
100.0,1,155.965189
0.0,201,156.130347
0.0,201,156.302477
0.0,201,156.453194
0.0,201,156.612675
0.0,201,156.770591
0.0,201,156.959071
0.0,201,157.136741
100.0,1,157.137767
0.0,201,157.313981
0.0,201,157.483941
0.0,201,157.659871
100.0,2,157.662581
0.0,201,157.828003
0.0,201,157.992218
0.0,201,158.169079
0.0,201,158.334659
0.0,201,158.503474
0.0,201,158.679679
0.0,201,158.839011
0.0,201,159.037256
0.0,201,159.234443
0.0,201,159.40642
0.0,201,159.569685
0.0,201,159.755508
0.0,201,159.934092
0.0,201,160.131056
0.0,201,160.291483
0.0,201,160.456518
0.0,201,160.620789
0.0,201,160.791324
0.0,201,160.978977
0.0,201,161.140359
0.0,201,161.317413
0.0,201,161.4939
0.0,201,161.65848
0.0,201,161.834143
0.0,201,162.003597
0.0,201,162.157056
